Question;Choix;Réponses correctes
Qu'est-ce que la cybersécurité ?;Un fruit | Sécurité d'internet | Un sport | Une saison;Sécurité d'internet
Quels sont les 3 piliers de la cybersécurité ?;La préparation | La protection | La liberté | La réaction;La préparation | La protection | La réaction
Comment appelle-t-on une personne qui travaille dans la cybersécurité ?;Un cybersécuritien | Un cybermen | Expert cybersécurité | Un informaticien;Expert cybersécurité
Combien de personnes sont victimes de cyberattaques par an ?;1 | 100 000 000 | 2500 | 100 000;100 000
Qui est concerné par les cyberattaques ? (2 réponses);Les adolescents | Les entreprises | Les administrations | Les informaticiens;Les entreprises | Les administrations
Est-ce une bonne idée d'utiliser le même mot de passe sur tous ses comptes ?;Oui c'est une super idée | Non c'est la pire idée;Non c'est la pire idée
Faut-il s'assurer contre le risque cyber ?;Non ça ne sert à rien | Peut-être | Cela aggraverait la situation | Oui c'est très important pour limiter la crise;Oui c'est très important pour limiter la crise
Y a-t-il un ministère de la cybersécurité ?;Oui | Non | Pas encore, mais c'est en projet;Pas encore, mais c'est en projet
Que faire en cas de cyberattaque ?;Se cacher sous une table | Appeler les pompiers | La signaler et porter plainte | Ne pas paniquer et aller chez un spécialiste;La signaler et porter plainte
Quand est le cybermois ?;En janvier | Ce mois-ci | En octobre | En décembre;En octobre
Que dois-tu faire si un inconnu te demande ton adresse en ligne ?;La donner sans hésiter | Ne jamais la partager | Demander son adresse en retour | Partager seulement la ville;Ne jamais la partager
Quel est le meilleur mot de passe ?;123456 | MotDePasse | Ch@t-2025! | MonAnniversaire;Ch@t-2025!
À quoi sert un antivirus ?;Jouer à des jeux vidéo | Protéger l'ordinateur des virus | Rendre Internet plus rapide | Envoyer des emails;Protéger l'ordinateur des virus
Que faire si tu reçois un message bizarre d'un ami ?;Le transférer à tout le monde | Lui répondre immédiatement | Vérifier si c'est vraiment lui | Supprimer ton compte;Vérifier si c'est vraiment lui
Que signifie ce cadenas ?? à côté d'une URL ?;Le site est payant | La connexion est sécurisée | Le site est en construction | C'est une publicité;La connexion est sécurisée
Pourquoi ne faut-il pas cliquer sur des liens inconnus ?;Ils ralentissent l'ordinateur | Ils peuvent être dangereux | Ils coûtent de l'argent | Ils effacent les jeux;Ils peuvent être dangereux
Que faire si tu vois un message de harcèlement en ligne ?;Le liker | Le signaler | Ne rien dire | Le partager;Le signaler
Qu'est-ce qu'un « ami en ligne » que tu n'as jamais rencontré ?;Un vrai ami | Un inconnu | Un professeur | Un robot;Un inconnu
Que dois-tu faire avant de télécharger une application ?;Regarder si l'application est sécurisée | Télécharger vite fait | Partager ton mot de passe | Éteindre le téléphone;Regarder si l'application est sécurisée
Quelle information ne dois-tu JAMAIS partager en ligne ?;Ta couleur préférée | Ton nom complet et ton adresse | Ton sport favori | Ton film préféré;Ton nom complet et ton adresse
Que faire si ton compte est piraté ?;Crier sur l'ordinateur | Changer le mot de passe | Ne plus jamais utiliser Internet | Acheter un nouveau téléphone;Changer le mot de passe
Qu'est-ce qu'un « spam » ?;Un message important | Un message indésirable | Un jeu vidéo | Une photo drôle;Un message indésirable
Pourquoi faut-il se déconnecter des sites après utilisation ?;Pour gagner des points | Pour protéger son compte | Pour économiser l'électricité | C'est inutile;Pour protéger son compte
Que faire si un site te demande ton numéro de téléphone ?;Le donner tout de suite | Regarder si le site est fiable | Inventer un numéro | Quitter le site;Regarder si le site est fiable
Qu'est-ce qu'un « pseudo » en ligne ?;Un nom de famille | Un surnom pour rester anonyme | Un mot de passe | Un type de virus;Un surnom pour rester anonyme
Que signifie « signaler » un message bizarre ?;Le partager avec des amis | Avertir des modérateurs | Le supprimer | L'ignorer;Avertir des modérateurs
Que dois-tu faire si tu reçois un cadeau virtuel d'un inconnu ?;L'accepter et le remercier | Refuser | Le vendre en ligne | Cacher ton téléphone;Refuser
Quelle est la bonne attitude sur les réseaux sociaux ?;Insulter les autres | Partager des photos de ses amis sans autorisation | Respecter les autres | Tout dire sur sa vie privée;Respecter les autres
;;
;;
sr;;
